Comuna,CENSO 1991,CENSO 2001,CENSO 2010,CENSO 2022
Comuna 13,250224,228226,231331,265199
Comuna 14,256927,225245,225970,249016
Comuna 12,198185,191122,200116,236294
Comuna 4,215223,215046,218245,230945
Comuna 1,200689,171985,205886,223282
Comuna 7,198489,197333,220591,216832
Comuna 8,151078,161642,187237,204842
Comuna 6,183740,170309,176076,203784
Comuna 11,199049,189666,189832,203491
Comuna 15,195346,183110,182574,197903
Comuna 3,200275,184015,187537,195462
Comuna 5,188342,173769,179005,193859
Comuna 10,167671,163209,166022,171797
Comuna 9,161518,155967,161797,169538
Comuna 2,198647,165494,157932,158368
