ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0001,1,2016,1,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,avenida,8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19
2016-0002,1,2016,1,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,avenida,9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,70
2016-0003,1,2016,1,3,7,AV ENTRE RIOS 2034,avenida,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30
2016-0004,1,2016,1,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,avenida,8,-58.46503904,-34.68092974,moto,auto,conductor,masculino,18
2016-0005,1,2016,1,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,avenida,1,-58.38718297,-34.62246630,moto,pasajeros,conductor,masculino,29
2016-0008,1,2016,1,24,18,AV 27 DE FEBRERO Y AV ESCALADA,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30
2016-0009,1,2016,1,24,19,NOGOYA Y JOAQUIN V. GONZALES,calle,11,-58.50095869,-34.60825440,moto,auto,pasajero_acompañante,masculino,29
2016-0010,1,2016,1,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,avenida,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18
2016-0012,1,2016,2,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,avenida,1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22
2016-0013,1,2016,2,10,11,AV ENTRE RIOS 1366,avenida,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,16
2016-0015,1,2016,2,14,5,AV SCALABRINI ORTIZ Y VERA,avenida,15,-58.43760020,-34.59912758,peaton,auto,peaton,femenino,16
2016-0016,1,2016,2,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,avenida,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19
2016-0017,1,2016,2,15,16,MARIANO ACOSTA Y ANA MARIA JANER,avenida,8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,59
2016-0019,1,2016,2,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,calle,9,-58.50990884,-34.65468721,peaton,pasajeros,peaton,femenino,65
2016-0020,1,2016,2,17,16,SUIPACHA 156,calle,1,-58.37952223,-34.60653282,peaton,auto,peaton,masculino,59
2016-0021,1,2016,2,17,23,AV DIRECTORIO Y CURAPALIGUE,avenida,7,-58.45157703,-34.63063795,auto,auto,conductor,masculino,34
2016-0022,1,2016,2,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,avenida,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompañante,masculino,41
2016-0025,1,2016,2,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,avenida,8,-58.46244952,-34.70524971,auto,auto,pasajero_acompañante,masculino,34
2016-0026,1,2016,2,28,7,HOLMBERG Y VEDIA,calle,12,-58.49216191,-34.54738649,auto,objeto fijo,conductor,masculino,30
2016-0027,1,2016,2,28,9,CURAPALIGUE Y AVELINO DIAZ,avenida,7,-58.44497874,-34.63852623,auto,auto,pasajero_acompañante,masculino,34
2016-0028,1,2016,3,2,10,VIAMONTE Y AV 9 DE JULIO,avenida,1,-58.38199706,-34.60028648,peaton,cargas,peaton,masculino,50
2016-0029,1,2016,3,4,17,AV CABILDO Y DEHEZA,avenida,12,-58.47378664,-34.54153077,peaton,pasajeros,peaton,masculino,38
2016-0031,1,2016,3,8,12,AV GRAL PAZ Y AV CNEL ROCA,avenida,8,-58.47064556,-34.69843756,moto,pasajeros,conductor,masculino,21
2016-0034,1,2016,3,12,12,AV AMANCIO ALCORTA Y BONAVENA,avenida,4,-58.40623949,-34.65076549,peaton,pasajeros,peaton,masculino,52
2016-0035,1,2016,3,13,6,AV CORRIENTES Y AV CALLAO,avenida,3,-58.39228965,-34.60443527,moto,pasajeros,conductor,masculino,34
2016-0036,1,2016,3,14,0,HERRERA Y ARISTOBULO DEL VALLE,calle,4,-58.37813396,-34.63668504,moto,pasajeros,pasajero_acompañante,masculino,36
2016-0037,1,2016,3,19,11,AV. EVA PERON Y QUIRNO,avenida,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,20
2016-0038,1,2016,3,21,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,avenida,8,-58.49683458,-34.67892743,peaton,pasajeros,peaton,masculino,29
2016-0039,1,2016,3,23,1,BARTOLOME MITRE Y AV PUEYRREDON,avenida,3,-58.40603217,-34.60883960,moto,pasajeros,conductor,masculino,20
2016-0041,2,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,avenida,7,-58.46076550,-34.63350444,moto,cargas,conductor,masculino,54
2016-0041,2,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,avenida,7,-58.46076550,-34.63350444,moto,cargas,pasajero_acompañante,masculino,37
2016-0043,1,2016,3,30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,avenida,8,-58.47832463,-34.67494416,peaton,cargas,peaton,femenino,56
2016-0044,1,2016,3,31,19,AV JOSE MARIA MORENO Y BALBASTRO,avenida,7,-58.43213235,-34.63693953,moto,multiple,conductor,masculino,24
2016-0045,1,2016,4,11,10,AV GRAL PAZ Y AV DEL LIBERTADOR,avenida,13,-58.46743471,-34.53476874,moto,auto,conductor,masculino,37
2016-0047,1,2016,4,15,5,LIMA 1483,calle,1,-58.38247061,-34.62571878,peaton,pasajeros,peaton,masculino,41
2016-0048,1,2016,4,15,17,AV. CORRIENTES Y AV. DORREGO,avenida,15,-58.44759966,-34.59170240,peaton,pasajeros,peaton,femenino,37
2016-0049,1,2016,4,17,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",autopista,4,-58.37714647568196,-34.63657525428238,moto,auto,conductor,masculino,37
2016-0050,1,2016,4,19,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,avenida,8,-58.47305463,-34.68550712,peaton,pasajeros,peaton,masculino,78
2016-0051,1,2016,4,20,4,AV AMANCIO ALCORTA Y BONAVENA,avenida,4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,36
2016-0052,1,2016,4,20,20,AUTOPISTA LUGONES PK 10000,autopista,13,.,.,moto,auto,conductor,masculino,37
2016-0053,1,2016,4,22,9,AV TRIUNVIRATO Y AV OLAZABAL,avenida,12,-58.48429180,-34.57558053,peaton,pasajeros,peaton,masculino,38
2016-0054,1,2016,4,23,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,autopista,8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,30
2016-0055,1,2016,4,25,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,avenida,14,-58.40021959,-34.57964781,peaton,cargas,peaton,masculino,79
2016-0056,1,2016,4,26,4,AV LUIS MARIA CAMPOS 30,avenida,14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,26
2016-0058,1,2016,5,4,14,LIMA 1471,calle,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,57
2016-0059,1,2016,5,8,16,PASAJE CIUDADELA Y LIMA OESTE,calle,1,-58.38222219,-34.62728101,peaton,pasajeros,peaton,masculino,37
2016-0064,1,2016,5,14,18,AV JUAN B JUSTO Y AV CARRASCO,avenida,10,-58.49485242,-34.62953445,peaton,pasajeros,peaton,masculino,20
2016-0065,1,2016,5,20,14,AV GAONA Y ESPINOSA,avenida,6,-58.45227946,-34.61068024,peaton,auto,peaton,masculino,20
2016-0067,1,2016,5,21,17,AV LISANDRO DE LA TORRE Y SARAZA,avenida,8,-58.48455411,-34.67512760,moto,pasajeros,pasajero_acompañante,femenino,30
2016-0068,1,2016,5,22,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,avenida,2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,58
2016-0069,1,2016,5,23,3,AV ENTRE RIOS Y PASAJE FILIBERTO,avenida,3,-58.39118948,-34.62704273,auto,cargas,conductor,masculino,30
2016-0073,1,2016,6,11,15,MAGARIÑOS CERVANTES 3900,calle,10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,23
2016-0074,1,2016,6,12,6,AV GRAL PAZ Y RODOLFO SCAPINO,avenida,8,-58.49896559,-34.67732118,auto,auto,conductor,masculino,60
